Annual_meetings,Mentorship_program,Access_resources,Educational_workshops,Industry_policy_insights,Networking_opportunities ,News_updates,Marketing_social,Option_to_explain,Speaker Name(s):,Topic(s):,Speaker Category,Workshop Topic(s):,Workshop Category,Age,Gender,Race,Location,Scale,Beekeeping_experience
Satisfied,No prior experience,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,,,,,,,55-64,Male,White,Southern Vermont,Hobbyist Beekeeper (<25 colonies) ,10+
Satisfied,No prior experience,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,,,,,,35-54,Male,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Very satisfied,,Satisfied,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,,,,,"Making nucs, overwinter splits","Preparing for winter, Hive management techniques",65+,Male,White,Western Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Very satisfied,No prior experience,No prior experience,No prior experience,No prior experience,Very satisfied,Very satisfied,Very satisfied,Cant sign onto website as a member to renew membership,,Types of hives pros & cons,Hive management techniques,Types of hives pros & cons,Hive management techniques,55-64,Male,White,Other,Sideliner Beekeeper (25-300 colonies),4-6
No prior experience,No prior experience,Very satisfied,Very satisfied,Very satisfied,No prior experience,Very satisfied,No prior experience,,,,,"Beginner beekeeping, treating for mites",Pests and pathogens,65+,Female,White,Central Vermont,Hobbyist Beekeeper (<25 colonies) ,0-3
No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,,,,,First time beekeeping,Hive management techniques,,,,,,
Satisfied,Neutral,Satisfied,Very satisfied,Neutral,Neutral,Unsatisfied,Satisfied,,,,,Honey beekeeping related topics,Hive management techniques,55-64,Female,White,Central Vermont,Hobbyist Beekeeper (<25 colonies) ,10+
Neutral,,,,,,,,,,,,,,65+,Male,White,Northeast Vermont,Sideliner Beekeeper (25-300 colonies),10+
Very satisfied,Unsatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Satisfied,Neutral,,,,,,,65+,Male,White,,Hobbyist Beekeeper (<25 colonies) ,10+
Very satisfied,No prior experience,Satisfied,Satisfied,Neutral,,Very satisfied,Neutral,,,,,Pest control,Pests and pathogens,65+,Female,White,Central Vermont,Hobbyist Beekeeper (<25 colonies) ,7-10
No prior experience,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,Very unsatisfied,,,,,,,35-54,Female,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,7-10
Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,Business basics,"Commercial beekeeping, Hive management techniques",35-54,Male,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,7-10
,,,,,,,,,,,,,,35-54,Female,White,Other,Hobbyist Beekeeper (<25 colonies) ,4-6
No prior experience,No prior experience,Satisfied,Very satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,,,Raising queens,Queen rearing,"Queens, nucs, and alterative hive products","Queen rearing, Hive management techniques",35-54,Male,White,Western Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,,,,,,,
Neutral,Neutral,Unsatisfied,Neutral,Neutral,Neutral,Neutral,Satisfied,Not a web person,,More about community activities,,Winter and mites,"Preparing for winter, Pests and pathogens",,,,,,
Very satisfied,Satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,,65+,Male,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,10+
Satisfied,No prior experience,Satisfied,Very satisfied,Satisfied,Neutral,Satisfied,Neutral,,,Disease overview and treatment approaches,"Pests and pathogens, Bee nutrition, Pesticides",,,65+,Male,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Very satisfied,Neutral,Very satisfied,Very satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,,,,,,,,,,,,
No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,,,,,,,55-64,Male,,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,0-3
No prior experience,No prior experience,No prior experience,Satisfied,Neutral,No prior experience,No prior experience,Neutral,"One year beekeeper, lots to learn.",,Bee health,Bee nutrition,,,55-64,Male,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,0-3
Satisfied,No prior experience,Very satisfied,Very satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,,,,,,,35-54,Male,White,Western Vermont,Hobbyist Beekeeper (<25 colonies) ,0-3
No prior experience,Very satisfied,No prior experience,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No prior experience,,,,,,,55-64,Female,White,Northeast Vermont,Hobbyist Beekeeper (<25 colonies) ,7-10
No prior experience,Very satisfied,Satisfied,Satisfied,No prior experience,Satisfied,Very satisfied,Very satisfied,,,,,,,35-54,Female,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Very satisfied,No prior experience,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,,,,,,,
Satisfied,,Very satisfied,Satisfied,,Satisfied,,Satisfied,,,,,Updates on treatments,Pests and pathogens,35-54,Female,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Satisfied,Unsatisfied,Satisfied,Very satisfied,No prior experience,Unsatisfied,Very satisfied,Very satisfied,,,"Ergonomics, tips + tricks",Hive management techniques,,,55-64,Female,White,Northeast Vermont,Hobbyist Beekeeper (<25 colonies) ,0-3
Very satisfied,Very satisfied,Satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,,65+,Male,White,Central Vermont,Hobbyist Beekeeper (<25 colonies) ,10+
Satisfied,No prior experience,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,,,,,,,35-54,Male,Native American or Alaska Native,Western Vermont,Sideliner Beekeeper (25-300 colonies),0-3
Very satisfied,,Very satisfied,Very satisfied,Very satisfied,,,,,,,,,,,,,,,
Neutral,No prior experience,Neutral,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neutral,,,,,,,65+,Female,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,10+
No prior experience,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,,35-54,Male,White,Southern Vermont,Hobbyist Beekeeper (<25 colonies) ,0-3
Neutral,Neutral,Satisfied,Satisfied,Very unsatisfied,,Satisfied,Unsatisfied,,,VBA needs to limit negative/political implications that VBA is not for beekeeping ,,,,,,,,,
No prior experience,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,,35-54,Female,White,Southern Vermont,Hobbyist Beekeeper (<25 colonies) ,0-3
No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,,,,,,,55-64,Male,White,Western Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Very satisfied,No prior experience,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,,65+,Male,White,Northwest Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Satisfied,No prior experience,Satisfied,Satisfied,Very satisfied,Satisfied,Satisfied,Satisfied,,,Diseases of honeybees,Pests and pathogens,,,65+,Male,White,Central Vermont,Hobbyist Beekeeper (<25 colonies) ,4-6
Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Unsatisfied,Satisfied,Neutral,,,,,,,,,,,,
Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,,,,,,,,,,,,
Satisfied,Unsatisfied,Very satisfied,Very satisfied,Neutral,Neutral,Satisfied,Satisfied,,,,,,,,,,,,
Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,,,,,,,,,,,
Very satisfied,No prior experience,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No prior experience,,,,,,,,,,,,