Annual_meetings,Mentorship_program,Access_resources,Educational_workshops,Industry_policy_insights,Networking_opportunities ,News_updates,Marketing_social,Age,Gender,Race,Location,Scale,Beekeeping_experience
No prior experience,No prior experience,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,65+,Male,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),10+
Neutral,Very Unsatisfied,Very Unsatisfied,Unsatisfied,Very Unsatisfied,Neutral,Very Unsatisfied,Very Unsatisfied,55-64,Female,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),4-6
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,35-54,Female,White,"Northeast Vermont (Caledonia, Essex, Orleans)",Hobbyist Beekeeper (<25 colonies),10+
,,,,,,,,,,,,,
Neutral,No prior experience,No prior experience,Neutral,Neutral,No prior experience,No prior experience,No prior experience,55-64,Male,White,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Hobbyist Beekeeper (<25 colonies),4-6
Very Unsatisfied,Very Unsatisfied,No prior experience,No prior experience,No prior experience,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,65+,Male,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),4-6
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No prior experience,Very Satisfied,Very Satisfied,Very Satisfied,35-54,Female,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),4-6
,,,,,,,,,,,,,
Satisfied,Unsatisfied,Satisfied,Satisfied,No prior experience,Very Satisfied,Satisfied,No prior experience,65+,Male,White,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Hobbyist Beekeeper (<25 colonies),10+
No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,65+,Female,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),4-6
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,65+,Female,Prefer not to answer,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Hobbyist Beekeeper (<25 colonies),7-10
Neutral,Very Satisfied,Neutral,Satisfied,Unsatisfied,Neutral,Neutral,Neutral,55-64,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,10+
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,65+,Male,White,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Hobbyist Beekeeper (<25 colonies),10+
Very Satisfied,No prior experience,No prior experience,Satisfied,No prior experience,Satisfied,Satisfied,No prior experience,65+,Male,Prefer not to answer,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Prefer not to answer,10+
Satisfied,No prior experience,Satisfied,Very Satisfied,Satisfied,No prior experience,Satisfied,Satisfied,65+,Male,White,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Hobbyist Beekeeper (<25 colonies),7-10
Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,55-64,Male,White,"Central Vermont (Washington, Orange, Lamoille)",Hobbyist Beekeeper (<25 colonies),0-3
,,,,,,,,,,,,,
No prior experience,No prior experience,Satisfied,Satisfied,No prior experience,No prior experience,Neutral,Neutral,65+,Male,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),10+
,,,,,,,,,,,,,
No prior experience,No prior experience,Very Satisfied,Very Satisfied,Very Satisfied,No prior experience,Very Satisfied,No prior experience,65+,Male,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),7-10
Neutral,No prior experience,Satisfied,Very Satisfied,Satisfied,Neutral,Neutral,Neutral,55-64,Male,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),4-6
Satisfied,No prior experience,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,65+,Male,White,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Sideliner Beekeeper (25-300 colonies),10+
No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,Satisfied,No prior experience,No prior experience,55-64,Male,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),0-3
,,,,,,,,,,,,,
Very Satisfied,Neutral,Neutral,Very Satisfied,Neutral,Neutral,Very Satisfied,Neutral,65+,Male,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),7-10
,,,,,,,,,,,,,
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,35-54,Male,White,West / central NH,Commercial Beekeeper (>300 colonies),10+
Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,35-54,Male,White,"Western Vermont (Rutland, Addison)",Sideliner Beekeeper (25-300 colonies),0-3
Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Neutral,55-64,Male,Prefer not to answer,"Western Vermont (Rutland, Addison)",Sideliner Beekeeper (25-300 colonies),10+
Satisfied,Neutral,Satisfied,Very Satisfied,Neutral,Very Satisfied,Neutral,Neutral,18-34,Female,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),0-3
Satisfied,Unsatisfied,Satisfied,Very Satisfied,Very Satisfied,Unsatisfied,Unsatisfied,Very Satisfied,55-64,Female,White,"Northeast Vermont (Caledonia, Essex, Orleans)",Hobbyist Beekeeper (<25 colonies),0-3
Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Neutral,65+,Male,White,"Western Vermont (Rutland, Addison)",Sideliner Beekeeper (25-300 colonies),10+
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,55-64,Female,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),4-6
No prior experience,No prior experience,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Neutral,35-54,Male,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),4-6
Very Satisfied,No prior experience,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No prior experience,35-54,Female,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),10+
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,35-54,Male,Prefer not to answer,"Northeast Vermont (Caledonia, Essex, Orleans)",Hobbyist Beekeeper (<25 colonies),4-6
No prior experience,No prior experience,No prior experience,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No prior experience,65+,Male,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),4-6
No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,35-54,Female,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),0-3
Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No prior experience,65+,Female,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),10+
Very Satisfied,Neutral,Neutral,Very Satisfied,Neutral,Satisfied,Very Satisfied,Neutral,65+,Male,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),10+
Very Unsatisfied,No prior experience,Satisfied,No prior experience,Neutral,Neutral,Neutral,Neutral,55-64,Non-binary,White,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Hobbyist Beekeeper (<25 colonies),0-3
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,65+,Male,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),10+
Neutral,Neutral,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,55-64,Female,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),4-6
Very Satisfied,Neutral,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Neutral,65+,Male,White,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Hobbyist Beekeeper (<25 colonies),10+
No prior experience,No prior experience,Satisfied,Very Unsatisfied,Satisfied,Satisfied,Satisfied,No prior experience,55-64,Male,White,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Hobbyist Beekeeper (<25 colonies),0-3
No prior experience,No prior experience,Very Satisfied,Satisfied,Very Satisfied,No prior experience,Very Satisfied,No prior experience,65+,Female,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),10+
,,,,,,,,,,,,,
Satisfied,No prior experience,No prior experience,Very Satisfied,No prior experience,No prior experience,Very Satisfied,No prior experience,65+,Male,White,"Central Vermont (Washington, Orange, Lamoille)",Hobbyist Beekeeper (<25 colonies),10+
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,55-64,Male,White,New Hampshire ,Sideliner Beekeeper (25-300 colonies),4-6
No prior experience,No prior experience,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,55-64,Male,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),7-10
No prior experience,Neutral,Very Satisfied,Very Satisfied,No prior experience,No prior experience,Very Satisfied,No prior experience,55-64,Female,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),7-10
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,65+,Male,White,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Prefer not to answer,10+
Very Satisfied,No prior experience,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,35-54,Male,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),0-3
Satisfied,No prior experience,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,55-64,Female,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),4-6
Satisfied,Neutral,Neutral,Satisfied,Very Satisfied,Neutral,Neutral,Neutral,65+,Female,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),10+
No prior experience,Very Unsatisfied,No prior experience,No prior experience,No prior experience,No prior experience,Neutral,No prior experience,65+,Male,White,"Central Vermont (Washington, Orange, Lamoille)",Hobbyist Beekeeper (<25 colonies),7-10
Neutral,Very Unsatisfied,Neutral,Very Satisfied,Neutral,Satisfied,Neutral,Neutral,65+,Prefer not to answer,Prefer not to answer,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),4-6
Neutral,No prior experience,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Satisfied,55-64,Male,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),4-6
,,,,,,,,,,,,,
No prior experience,Satisfied,No prior experience,Very Satisfied,No prior experience,No prior experience,No prior experience,No prior experience,55-64,Female,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),0-3
No prior experience,No prior experience,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No prior experience,65+,Male,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),10+
No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,35-54,Male,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),0-3
,,,,,,,,,,,,,
Satisfied,No prior experience,Satisfied,Satisfied,No prior experience,Satisfied,Satisfied,Satisfied,35-54,Female,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),10+
Satisfied,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,Satisfied,No prior experience,65+,Male,Prefer not to answer,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Hobbyist Beekeeper (<25 colonies),0-3
No prior experience,No prior experience,No prior experience,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Neutral,55-64,Male,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),7-10
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,55-64,Male,White,"Central Vermont (Washington, Orange, Lamoille)",Hobbyist Beekeeper (<25 colonies),0-3
No prior experience,No prior experience,Very Satisfied,Very Satisfied,Satisfied,No prior experience,Very Satisfied,No prior experience,35-54,Male,Prefer not to answer,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),7-10
Satisfied,No prior experience,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Neutral,65+,Male,White,"Western Vermont (Rutland, Addison)",Hobbyist Beekeeper (<25 colonies),4-6
Satisfied,No prior experience,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,65+,Female,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),10+
No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,No prior experience,18-34,Male,White,"Central Vermont (Washington, Orange, Lamoille)",Hobbyist Beekeeper (<25 colonies),0-3
Neutral,Very Unsatisfied,Neutral,Neutral,Neutral,Neutral,Very Unsatisfied,Neutral,55-64,Male,White,"Central Vermont (Washington, Orange, Lamoille)",Hobbyist Beekeeper (<25 colonies),4-6
,,,,,,,,,,,,,
Neutral,Unsatisfied,Satisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,55-64,Male,White,"Northwest Vermont (Chittenden, Franklin, Grand Isle)",Hobbyist Beekeeper (<25 colonies),4-6
Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,55-64,Male,White,"Southern Vermont (Bennington, Windham, Windsor)",Hobbyist Beekeeper (<25 colonies),7-10